Number;TAB;INDICATOR;ABBREVIATION;COLUMN;ATTRIBUTE_TYPE;SUMMARIZE_BY;NEW_DASHBOARD_VIS;PERCENTAGE
1;PC;Age;QI0;age;Quantitative;median;number;0
2;PC;Gender;;gender;Categorical;%;stacked_bargraph;0
3;PC;NIHSS;QI;nihss_score;Quantitative;median;trend;0
4;PC;BP systolic;;sys_blood_pressure;Quantitative;mean;trend;0
5;PC;BP diastolic;;dis_blood_pressure;Quantitative;mean;trend;0
6;PC;Glucose;QI;glucose;Quantitative;mean;trend;0
7;PC;LDL cholestorol;QI;cholesterol;Quantitative;mean;trend;0
8;PC;mRS 2-5;QI;prestroke_mrs;Quantitative;%;trend;0
9;PC;COVID positive;;covid_test;Categorical_binary;%;trend;1
10;PC;In-hospital stroke;;hospital_stroke;Categorical_binary;%;trend;1
11;PC;Arrival pre-notified;QI5;prenotification;Categorical_binary;%;trend;1
12;PC;Hypertension;QI;risk_hypertension;Categorical_binary;%;trend;1
13;PC;Diabetes;QI;risk_diabetes;Categorical_binary;%;trend;1
14;PC;Hyperlipidemia;;risk_hyperlipidemia;Categorical_binary;%;trend;1
15;PC;Active smoker;;risk_smoker;Categorical_binary;%;trend;1
16;PC;Previous IS/TIA;QI;risk_previous_ischemic_stroke;Categorical_binary;%;trend;1
17;PC;Previous ICH;QI;risk_previous_hemorrhagic_stroke;Categorical_binary;%;trend;1
19;PC;Cor. Artery Disease / Previous MI;;risk_coronary_artery_disease_or_myocardial_infarction;Categorical_binary;%;trend;1
20;PC;Cong. Heart Fail;;risk_congestive_heart_failure;Categorical_binary;%;trend;1
21;PC;HIV;;risk_hiv;Categorical_binary;%;trend;1
22;PC;Type of stroke;;stroke_type;Categorical;%;stacked_bargraph;0
25;PC;Hospitalized at unit;;hospitalized_in;Categorical;%;stacked_bargraph;1
26;PC;Hospitalized at department;;department_type;Categorical;%;stacked_bargraph;1
27;PC;Anti Diabetics;;before_onset_antidiabetics;Categorical_binary;%;trend;1
30;PC;Cilostazol;;before_onset_cilostazol;Categorical_binary;%;trend;1
31;PC;Clopidogrel;;before_onset_clopidrogel;Categorical_binary;%;trend;1
32;PC;Ticagrelol;;before_onset_ticagrelor;Categorical_binary;%;trend;1
33;PC;Ticlopidine;;before_onset_ticlopidine;Categorical_binary;%;trend;1
34;PC;Prasugrel;;before_onset_prasugrel;Categorical_binary;%;trend;1
35;PC;Dipyridamol, slow release;;before_onset_dipyridamol;Categorical_binary;%;trend;1
36;PC;Warfarin;;before_onset_warfarin;Categorical_binary;%;trend;1
44;PC;Stroke mimics;;stroke_mimics_diagnosis;Categorical;%;stacked_bargraph;0
